Incident,Time,Nature,Address
14F145767,10:12:16,47 REMOVE ITEMS,400 JEFFERSON BLVD W
14F145761,10:14:29,40A AUDIBLE,5700 ST JOE RD
14F145762,10:14:35,48 SUSPICIOUS,6100 CHICORY DR
14F145764,10:15:46,25HS HIT SKIP,1000 STATE BLVD W & ST MARYS AVE
14F145763,10:16:16,16 PICK UP ITEM,1800 BLUFFTON RD
14F145766,10:20:39,23 VANDALISM,4500 WHEELOCK RD
14F145768,10:23:09,40A AUDIBLE,3700 METRO DR N
14F145769,10:27:14,30 TRAFFIC STOP,6500 LIMA RD & LUDWIG RD W
14F145770,10:27:16,25 PD ACCIDENT,1600 WALLEN RD W & LIMA RD
14F145771,10:40:44,65T SUICIDE THR,1600 REED RD
14F145772,10:45:29,51IP,3800 LAFAYETTE ST S
14F145779,10:48:11,"50,ATTEMPTED",900 WASHINGTON BLVD E
14F145773,10:51:45,17 MOTOR CHECK,9700 KING JAMES CT
14F145777,10:53:32,1 MEET,1800 LUTHER ST
14F145774,10:58:30,"46,96",6300 SHELL DR
14F145776,11:00:19,"16,97",10700 STILL HOLLOW RUN
14F145775,11:00:49,40A AUDIBLE,1800 MAGNAVOX WAY
14F145778,11:05:41,22RN RUNAWAY,5200 CLOVERBROOK DR
14F145780,11:13:28,43 DISTURBANCE,2500 DUPONT RD E
14F145782,11:19:48,47 REMOVE ITEMS,1800 RIVER RUN TRL
14F145781,11:22:28,24 MISSING PERS,1500 WELLS ST
14F145783,11:27:54,63 CONTACT,2000 BROADWAY
14F145787,11:28:21,47 REMOVE ITEMS,700 ANDERSON AVE
14F145784,11:29:59,66V MENTAL VIOL,4600 CRESTWOOD DR
14F145786,11:31:25,911 HANG UP,3400 TIMBERHILL DR
14F145803,11:32:38,14 WARRANT,5500 COLDWATER RD
14F145788,11:34:18,911 HANG UP,1100 BARR ST S
14F145789,11:39:52,"51,35",2700 REPTON DR
14F145790,11:40:49,51JO,200 PETTIT AVE E
14F145791,11:48:27,40A AUDIBLE,3600 INDEPENDENCE DR
14F145793,11:49:15,43 DISTURBANCE,3400 HARVESTER AVE
14F145792,11:50:14,"33,34",1200 GETZ RD & ILLINOIS RD
14F145794,11:52:49,14S SERVING WAR,4300 AVONDALE DR
14F145795,11:56:42,47 REMOVE ITEMS,2100 ST MARYS AVE
14F145796,12:02:24,27 RECKLESS DRI,8100 LIMA RD & NORTHLAND BLVD
