Incident,Time,Nature,Address
14F144090,11:22:20,25 PD ACCIDENT,1200 STATE BLVD W
14F144094,11:23:11,"33,34",10400 PARKVIEW PLAZA DR & DUPONT R
14F144092,11:25:04,26 PI ACCIDENT,800 COLERICK ST & JOHN ST
14F144091,11:25:37,"48,36",900 MCKINNIE AVE
14F144097,11:27:06,"16,97",4700 ST JOE CENTER RD & REED RD
14F144093,11:28:29,30 TRAFFIC STOP,200 MAIN ST E & BARR ST S
14F144099,11:28:43,"46,96",100 JEFFERSON BLVD W & HARRISON ST
14F144096,11:30:31,25 PD ACCIDENT,600 STATE BLVD E & PARNELL AVE
14F144095,11:30:38,129,10500 OAK TRAIL RD
14F144098,11:36:23,1 MEET,6300 CROSS CREEK BLVD
14F144100,11:39:34,75 PURSUIT,100 DOUGLAS AVE W & HARRISON ST S
14F144101,11:45:10,25 PD ACCIDENT,6800 BEATY AVE & LOWER HUNTINGTON
14F144113,11:45:20,56 MOLESTING,3600 CALHOUN ST S
14F144102,11:48:07,103 UNWANTED,2000 HOBSON RD
14F144103,11:48:50,46 DOMESTIC,2900 SCHELE AVE
14F144104,11:55:50,911 HANG UP,2500 ELLEN AVE
14F144105,12:01:18,51 THEFT,900 LIBRARY PLAZA
14F144114,12:03:54,34 TRAFF HAZARD,1400 REED RD & LAKE AVE
14F144106,12:07:19,"46,62",2200 FAIRFIELD AVE
14F144107,12:07:34,96JO,6700 BLUFFTON RD & LOWER HUNTINGTO
14F144115,12:10:53,17 MOTOR CHECK,300 LEITH ST E
14F144108,12:11:23,16 PICK UP ITEM,2500 NORTHHIGHLANDS BLVD
14F144110,12:15:45,25 PD ACCIDENT,4400 ARDMORE AVE
14F144109,12:15:58,80 CIVIL INVEST,1500 RICHARDSON ST
14F144112,12:16:14,25 PD ACCIDENT,1300 WYSS RD & LAKE AVE
14F144116,12:24:11,103 UNWANTED,600 DUPONT RD E
14F144117,12:30:36,EMS,3700 SHERWOOD TERR E
14F144118,12:36:50,26 PI ACCIDENT,7700 ANTHONY BLVD S & LAFAYETTE ST
14F144119,12:43:44,51 THEFT,1600 WELLS ST
14F144120,12:46:29,15 ASSIST,00 MAIN ST E
14F144121,12:48:05,30 TRAFFIC STOP,3600 STONE CREEK RUN
14F144122,12:53:03,25 PD ACCIDENT,1200 COLISEUM BLVD N & COLUMBIA AV
14F144123,12:54:21,44LB,500 DEWALD ST E
14F144124,12:55:21,43 DISTURBANCE,1800 RIVER RUN TRL
14F144125,12:55:53,66 MENTALLY ILL,300 JEFFERSON BLVD W
14F144126,13:04:00,30 TRAFFIC STOP,3800 STONE CREEK RUN
14F144127,13:05:31,43 DISTURBANCE,100 BERRY ST W
14F144146,13:06:16,"50,ATTEMPTED",2900 OLIVER ST
14F144128,13:11:04,30 TRAFFIC STOP,400 CLINTON ST S
14F144129,13:18:50,24 MISSING PERS,1500 LEESBURG RD
14F144130,13:22:06,48 SUSPICIOUS,1500 CASS ST
14F144132,13:27:47,911 HANG UP,1000 OSAGE ST
14F144131,13:28:50,25 PD ACCIDENT,600 PONTIAC ST E & HANNA ST S
14F144133,13:29:17,25 PD ACCIDENT,1500 ILLINOIS RD S
14F144135,13:31:01,66V MENTAL VIOL,300 LEXINGTON CT
